"description","amount","currency","date","balance","category","merchant"
WITHDRAWAL FEE,-2.0,USD,2020-11-25,1034314.35,Charges/Fees,
TRANSFER ST-G3M2N1A2V3H0 STRIPE,313.0,USD,2020-11-25,1034310.35,Revenue,Stripe
Buffalo Wild Wings,-28.0,USD,2020-11-25,1034623.35,Other expenses,Buffalo Wild Wings
TRANSFER INV 23456 EDI PMT WALMART,550.0,USD,2020-11-26,1047350.35,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,550.0,USD,2020-11-26,1047900.35,Revenue,Walmart
"4900 Garth Rd. Baytown TX Woodfo",-200.0,USD,2020-11-26,1034573.35,Rent,
TRANSFER INV 123456 EDI PMT WALMART,567.0,USD,2020-11-29,1044397.35,Revenue,Walmart
Marketplac 34567ASDFGH AMZNV,218.0,USD,2020-11-29,1045152.35,Revenue,Amazon
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-20.0,USD,2020-11-29,1048430.35,Inventory,Paypal
TRANSFER INV 123456 EDI PMT WALMART,546.0,USD,2020-12-06,1056126.35,Revenue,Walmart
TRANSFER FROM SAVINGS,340.0,USD,2020-12-06,1056672.35,Reconciled Intra-Company transfers,
TRANSFER INV 123456 EDI PMT WALMART,550.0,USD,2021-01-05,1054867.35,Revenue,Walmart
TRANSFER INV 23456 EDI PMT WALMART,550.0,USD,2021-01-09,1055222.35,Revenue,Walmart
Marketplac 34567ASDFGH AMZN,218.0,USD,2021-01-31,1042109.7,Revenue,Amazon
DEPOSIT 123456 INTUIT P,1745.0,USD,2021-02-09,1052775.7,Revenue,Intuit
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-6200.0,USD,2021-01-22,1055148.35,Inventory,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-6200.0,USD,2021-01-23,1048948.35,Inventory,Paypal
CHECK #3039,-216.0,USD,2021-02-03,1053196.7,Check Outflows,
INST XFER PAYPAL Jamie Parker,-75.0,USD,2021-02-04,1052980.7,Other expenses,Paypal
GOLDEN NUGGET HOTEL,-40.0,USD,2021-02-07,1052875.7,Travel,Golden Nugget
INST XFER STICKERMULE PAYPAL COI,-176.0,USD,2021-02-12,1054471.7,Other expenses,Paypal
CHECK #3028,-216.0,USD,2021-02-13,1054295.7,Check Outflows,
TRANSFER INV 123456 EDI PMT WALMART,934.0,USD,2021-02-24,1053362.7,Revenue,Walmart
TRAN FEE 123456 INTUIT,-50.0,USD,2021-02-14,1054079.7,Software,Intuit
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-10000.0,USD,2021-03-01,1052195.7,Inventory,Paypal
CHECK #200,-300.0,USD,2021-03-02,1047081.7,Check Outflows,
Facebk Ads Menlo PARK,101.0,USD,2021-03-30,1052286.7,Revenue,Facebook
TRANSFER INV 123456 EDI PMT WALMART,387.0,USD,2021-04-03,1056782.7,Revenue,Walmart
DEPOSIT 524771998443963 INTUIT P,3000.0,USD,2021-04-08,1056942.7,Revenue,Intuit
DEPOSIT 524771998443963 INTUIT P,1745.0,USD,2021-04-29,1053501.7,Revenue,Intuit
TRANSFER FROM SAVINGS,1500.0,USD,2021-05-04,1060295.7,Unreconciled Intra-Company transfers,
TRANSFER FROM SAVINGS,340.0,USD,2021-05-05,1061795.7,Unreconciled Intra-Company transfers,
TRANSFER INV 123456 EDI PMT WALMART,280.0,USD,2021-05-07,1061913.7,Revenue,Walmart
CHECK #12345,-60.0,USD,2021-04-21,1059748.7,Check Outflows,
CHECK #0000,-100.0,USD,2021-04-26,1057925.7,Check Outflows,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-199.0,USD,2021-04-27,1057825.7,Inventory,Paypal
CHECK #0000,-222.0,USD,2021-05-06,1062135.7,Check Outflows,
TRANSFER INV 123456 EDI PMT WALMART,546.0,USD,2021-05-17,1059460.7,Revenue,Walmart
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-51.0,USD,2021-05-27,1066836.7,Inventory,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-90.0,USD,2021-05-28,1066785.7,Inventory,Paypal
Seafood Shack,-57.0,USD,2021-05-29,1066695.7,Other expenses,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-20.0,USD,2021-06-03,1068576.7,Inventory,Paypal
TRANSFER INV 123456 EDI PMT WALMART,567.0,USD,2021-06-07,1071483.7,Revenue,Walmart
Marketplac 34567ASDFGH AMZNV,218.0,USD,2021-06-10,1074659.7,Revenue,Amazon
TRANSFER INV 123456 EDI PMT WALMART,380.0,USD,2021-06-14,1074992.7,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,314.0,USD,2021-06-21,1068487.7,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,290.0,USD,2021-06-27,1071756.7,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,5500.0,USD,2021-06-28,1072046.7,Revenue,Walmart
CHECK #12345,-275.0,USD,2021-06-17,1069806.7,Check Outflows,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-42.0,USD,2021-06-18,1069531.7,Inventory,Paypal
INTERNATIONAL TRAN FEE,-2.0,USD,2021-06-19,1069489.7,Charges/Fees,
IAT PAYPAL 1009767235488 Dom Kwok,-15.0,USD,2021-06-24,1071491.7,Other expenses,Paypal
TRANSFER FROM SAVINGS,1500.0,USD,2021-07-03,1078374.7,Reconciled Intra-Company transfers,
DEPOSIT 524771998443963 INTUIT P,1745.0,USD,2021-07-08,1075240.7,Revenue,Intuit
TRANSFER INV 123456 EDI PMT WALMART,280.0,USD,2021-07-16,1075764.7,Revenue,Walmart
CHECK #0000,-100.0,USD,2021-07-05,1079664.7,Check Outflows,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-199.0,USD,2021-07-06,1079564.7,Inventory,Paypal
CHECK #0000,-222.0,USD,2021-07-15,1075986.7,Check Outflows,
TRANSFER INV 123456 EDI PMT WALMART,546.0,USD,2021-07-26,1073311.7,Revenue,Walmart
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-51.0,USD,2021-08-05,1073121.7,Inventory,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-90.0,USD,2021-08-06,1073070.7,Inventory,Paypal
Seafood Shack,-57.0,USD,2021-08-07,1072980.7,Other expenses,
SHOPIFY TRANSFER,2000.0,USD,2021-09-01,1073331.7,Revenue,Shopify
BlueVine BlueVine ***********,-1100.0,USD,2021-09-01,1075331.7,Debt Repayment,BlueVine
SHOPIFY CAPITAL,10000.0,USD,2021-09-01,1073131.7,Debt Investment,Shopify Capital
CASH APP*Johannes JJ 877417455,-200.0,USD,2021-09-01,1083131.7,P2P Transfers,Cash App
MOBILE DEPOSIT,294.0,USD,2021-09-03,1082916.7,Check Deposits,
UPS*123456QWERT,-28.0,USD,2020-11-12,1040559.0,Postage,UPS
PITNEY BOWES,-20.0,USD,2020-12-05,1053724.35,Inventory,Pitney Bowes
Amazon,-16.0,USD,2021-04-16,1059979.7,Software,Amazon
GOOGLE ADS ADS,-1000.0,USD,2021-08-29,1071127.7,Advertising,Google
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2890.0,USD,2021-08-31,1070441.7,Revenue,Stripe
TRANSFER ST-W2Q9V4R9I9J9 STRIPE,16000.0,USD,2021-09-08,1094986.7,Revenue,Stripe
TRAN FEE 123456 INTUIT,-50.0,USD,2020-11-12,1041787.0,Software,Intuit
GOLDEN NUGGET HOTEL,-40.0,USD,2020-11-13,1041408.0,Travel,Golden Nugget
CHECK #3039,-216.0,USD,2020-11-15,1041358.0,Check Outflows,
INST XFER PAYPAL Jamie Parker,-75.0,USD,2020-11-15,1041142.0,Other expenses,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-51.0,USD,2020-12-05,1049494.35,Inventory,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-90.0,USD,2020-12-05,1049443.35,Inventory,Paypal
Seafood Shack,-57.0,USD,2020-12-05,1049353.35,Other expenses,
Heroku CHECKCARD CALI CA,-130.0,USD,2021-01-01,1058214.35,Software,Heroku
Heroku CHECKCARD CALI CA,-120.0,USD,2021-01-01,1057702.35,Software,Heroku
"4900 Garth Rd. Baytown TX Woodfo",-200.0,USD,2021-01-01,1058084.35,Rent,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-6200.0,USD,2021-01-01,1057582.35,Inventory,Paypal
WITHDRAWAL FEE,-2.0,USD,2021-01-10,1055772.35,Charges/Fees,
WITHDRAWAL FEE,-2.0,USD,2021-01-11,1055770.35,Charges/Fees,
WITHDRAWAL FEE,-2.0,USD,2021-01-12,1055768.35,Charges/Fees,
CHECK #3028,-60.0,USD,2021-01-16,1055468.35,Check Outflows,
CHECK #3039,-60.0,USD,2021-01-17,1055408.35,Check Outflows,
Netflix,-13.0,USD,2021-08-13,1072985.7,Software,Netflix
Marketplac 34567ASDFGH AMZNV,218.0,USD,2021-08-19,1076424.7,Revenue,Amazon
TRANSFER INV 123456 EDI PMT WALMART,380.0,USD,2021-08-23,1076757.7,Revenue,Walmart
TRANSFER INV 123456 EDI PMT WALMART,314.0,USD,2021-08-30,1070127.7,Revenue,Walmart
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-20.0,USD,2021-08-12,1073005.7,Inventory,Paypal
CHECK #12345,-400.0,USD,2021-08-26,1071571.7,Check Outflows,
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-42.0,USD,2021-08-27,1071171.7,Inventory,Paypal
INTERNATIONAL TRAN FEE,-2.0,USD,2021-08-28,1071129.7,Charges/Fees,
Netflix,-14.0,USD,2021-09-04,1083210.7,Software,Netflix
CASH WITHDRAWAL,-200.0,USD,2021-09-09,1110986.7,ATM Cash Outflows,
IAT PAYPAL 1009767235488 Dom Kwok,-15.0,USD,2021-09-02,1082931.7,Other expenses,Paypal
INST XFER Guahzhou Leather Company Shenzhen China PAYPAL COID,-19900.0,USD,2021-09-16,1110786.7,Inventory,Paypal
CASH APP*Jamie Parker,-410.0,USD,2020-10-11,1049941.0,P2P Transfers,Cash App
USPS POSTAGE STAMPS.C EL SEGUNDO,-25.0,USD,2020-10-12,1049531.0,Postage,USPS
UPS*0000001R00F6409,-64.0,USD,2020-10-15,1051251.0,Postage,UPS
GOOGLE ADS ADS,-4125.0,USD,2020-10-15,1051187.0,Advertising,Google
GOOGLE ADS ADS,-5000.0,USD,2020-10-15,1047062.0,Advertising,Google
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-16,1040263.0,P2P Transfers,Cash App
Intuit *QuickBooks,-73.0,USD,2020-10-17,1040203.0,Software,Intuit
GOOGLE ADS ADS,-1480.0,USD,2020-10-17,1040130.0,Advertising,Google
Amazon,-25.0,USD,2020-10-18,1038590.0,Software,Amazon
CASH APP*Johannes JJ 1234567,-20.0,USD,2020-10-18,1038565.0,P2P Transfers,Cash App
DD 902/35135482 WEBFILE TAX PYMT,-110.0,USD,2020-10-18,1038545.0,Taxes,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-18,1038435.0,P2P Transfers,Cash App
Amazon.com Amzn.com/bill,-29.0,USD,2020-10-21,1038375.0,Software,Amazon
Amazon,-16.0,USD,2020-10-21,1038346.0,Software,Amazon
USPS.COM CLICKNSHIP,-22.0,USD,2020-10-21,1038304.0,Postage,USPS
MOBILE DEPOSIT,165.0,USD,2020-10-21,1038231.0,Check Deposits,
Amazon,-23.0,USD,2020-10-21,1038396.0,Software,Amazon
ADP 401k RC80AU101843W01 ADP 401,-150.0,USD,2020-10-21,1038373.0,Payroll and Consultants,ADP
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,34.0,USD,2020-10-23,1041610.0,Revenue,Stripe
UPS*0000001R00F6419,-88.0,USD,2020-10-23,1041644.0,Postage,UPS
MOBILE DEPOSIT,147.0,USD,2020-10-23,1041556.0,Check Deposits,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-24,1041703.0,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-250.0,USD,2020-10-24,1041643.0,Advertising,Facebook
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-25,1041494.0,P2P Transfers,Cash App
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-26,1041434.0,P2P Transfers,Cash App
FIVERR COM 1234567,-17.0,USD,2020-10-26,1041374.0,Payroll and Consultants,Fiverr
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-28,1041357.0,P2P Transfers,Cash App
CASH APP*Kwokadillo 123456,-125.0,USD,2020-10-28,1041297.0,P2P Transfers,Cash App
MOBILE DEPOSIT,147.0,USD,2020-10-28,1041172.0,Check Deposits,
IAT PAYPAL 1006984218939 FIVERR.,-19.0,USD,2020-10-28,1041319.0,Payroll and Consultants,Paypal
Facebk Ads Menlo PARK,-42.0,USD,2020-10-28,1041300.0,Advertising,Facebook
CASH APP*Kwokadillo 123456,-3.0,USD,2020-10-28,1041258.0,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-100.0,USD,2020-10-28,1041255.0,Advertising,Facebook
Facebk Ads Menlo PARK,-38.0,USD,2020-10-28,1041155.0,Advertising,Facebook
USPS POSTAGE STAMPS.C EL SEGUNDO,-25.0,USD,2020-10-29,1041117.0,Postage,USPS
UPS*0999999R00F6429,-55.0,USD,2020-10-29,1041092.0,Postage,UPS
CASH APP*Jamie Parker 123456,-60.0,USD,2020-10-29,1041037.0,P2P Transfers,Cash App
WWW.CVS.COM,-12.0,USD,2020-10-29,1040977.0,Other expenses,CVS Pharmacy
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,639.0,USD,2020-10-30,1040965.0,Revenue,Stripe
CASH APP*Johannes JJ 877417455,-200.0,USD,2020-10-30,1041604.0,P2P Transfers,Cash App
SERVICE CHARGE,-12.0,USD,2020-10-31,1041404.0,Charges/Fees,
IAT PAYPAL 1007005179842 FIVERR.,-12.0,USD,2020-10-31,1041392.0,Payroll and Consultants,Paypal
Facebk Ads Menlo PARK,-29.0,USD,2020-11-02,1041380.0,Advertising,Facebook
MOBILE DEPOSIT,178.0,USD,2020-11-02,1041351.0,Check Deposits,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-02,1041529.0,P2P Transfers,Cash App
TST* Porky's BBQ,-55.0,USD,2020-11-04,1041469.0,Other expenses,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-04,1041414.0,P2P Transfers,Cash App
USPS POSTAGE STAMPS.C EL SEGUNDO,-10.0,USD,2020-11-04,1041354.0,Postage,USPS
Facebk Ads Menlo PARK,-100.0,USD,2020-11-05,1041344.0,Advertising,Facebook
UPS*0000001R00F6439,-62.0,USD,2020-11-05,1041244.0,Postage,UPS
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-05,1041182.0,P2P Transfers,Cash App
ACH PMT A0000 AMEX EPAYMENT COID,-179.0,USD,2020-11-05,1041122.0,Credit Card,American Express
Amazon,-34.0,USD,2020-11-05,1040643.0,Software,Amazon
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-06,1040609.0,P2P Transfers,Cash App
Facebk Ads Menlo PARK,-340.0,USD,2020-11-06,1040549.0,Advertising,Facebook
DD 902/35350565 WEBFILE TAX PYMT,-262.0,USD,2020-11-06,1040209.0,Taxes,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-07,1039947.0,P2P Transfers,Cash App
IAT PAYPAL 12345 FIVERR.,-190.0,USD,2020-11-08,1040821.0,Payroll and Consultants,Paypal
IAT PAYPAL 123456 FIVERR.,-27.0,USD,2020-11-08,1040631.0,Payroll and Consultants,Paypal
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-09,1040604.0,P2P Transfers,Cash App
MOBILE DEPOSIT,147.0,USD,2020-11-11,1040544.0,Check Deposits,
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-11,1040691.0,P2P Transfers,Cash App
IAT PAYPAL 12345678 FIVERR.,-12.0,USD,2020-11-12,1040571.0,Payroll and Consultants,Paypal
IAT PAYPAL 1234567 FIVERR.,-37.0,USD,2020-11-12,1040139.0,Payroll and Consultants,Paypal
CASH APP*Jamie Parker 123456,-60.0,USD,2020-11-12,1041847.0,P2P Transfers,Cash App
UPS*123456QWERT,-329.0,USD,2020-11-12,1041737.0,Postage,UPS
USPS POSTAGE STAMPS.C EL SEGUNDO,-10.0,USD,2020-11-14,1041368.0,Postage,USPS
PITNEY BOWES,-20.0,USD,2020-11-15,1041067.0,Inventory,Pitney Bowes
TST* Rosa's Cantina,-69.0,USD,2020-11-18,1041265.0,Other expenses,
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,527.0,USD,2020-11-18,1041196.0,Revenue,Stripe
CASH APP*Johannes JJ 877417455,-60.0,USD,2020-11-18,1041723.0,P2P Transfers,Cash App
Intuit *QuickBooks,-73.0,USD,2020-11-18,1041663.0,Software,Intuit
IAT PAYPAL 12345678 FIVERR.,-400.0,USD,2020-11-18,1041590.0,Payroll and Consultants,Paypal
MOBILE DEPOSIT,147.0,USD,2020-11-18,1041190.0,Check Deposits,
GitLab San Francisco,-271.0,USD,2020-11-21,1034987.0,Software,Gitlab
UPS*0000001A00A1234,-171.0,USD,2020-11-21,1034645.0,Postage,UPS
Uber,-10.65,USD,2020-11-21,1034474.0,Travel,Uber
TST* NEIGHBOURHOOD COFFEE,-51.0,USD,2020-11-21,1034463.35,Other expenses,
CASH APP*Jamie Parker 123456789,-250.0,USD,2020-11-22,1034292.35,P2P Transfers,Cash App
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,272.0,USD,2020-11-22,1034042.35,Revenue,Stripe
H-E-B GAS/CAR WASH #1234 BAYTOWN,-20.0,USD,2020-11-25,1034595.35,Other expenses,
UPS*0000001R00F6469,-26.0,USD,2020-11-26,1034373.35,Postage,UPS
INST XFER UBERPRINTS PAYPAL COID,-427.0,USD,2020-11-26,1034347.35,Other expenses,Paypal
BlueVine BlueVine *********** ACH DEP,10000.0,USD,2020-11-26,1033920.35,Debt Investment,BlueVine
TRANSFER ST-Z9S5R5T5G STRIPE,364.0,USD,2020-11-26,1047067.35,Revenue,Stripe
GNLC BUFFET DINER,-81.0,USD,2020-11-26,1047431.35,Other expenses,
PITNEY BOWES,-20.0,USD,2020-11-29,1048450.35,Inventory,Pitney Bowes
GOOGLE ADS ADS,-1000.0,USD,2020-11-29,1048410.35,Advertising,Google
GOOGLE ADS ADS,-3000.0,USD,2020-11-29,1047410.35,Advertising,Google
Netflix,-13.0,USD,2020-11-29,1044410.35,Software,Netflix
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,269.0,USD,2020-11-29,1044964.35,Revenue,Stripe
INST XFER FACEBOOK FACEBO PAYPAL,-81.0,USD,2020-11-29,1045233.35,Advertising,Facebook
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,296.0,USD,2020-11-29,1045370.35,Revenue,Stripe
SERVICE CHARGE,-12.0,USD,2020-11-30,1045666.35,Charges/Fees,
BlueVine BlueVine ***********,-1100.0,USD,2020-12-01,1045654.35,Debt Repayment,BlueVine
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,4940.0,USD,2020-12-05,1044554.35,Revenue,Stripe
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,5310.0,USD,2020-12-05,1049296.35,Revenue,Stripe
UPS*0000001RQWEW1234,-261.0,USD,2020-12-05,1054606.35,Postage,UPS
Amazon.com Amzn.com/bill,-199.0,USD,2020-12-05,1054345.35,Software,Amazon
Arby's CHECKCARD PAYMENT,-67.0,USD,2020-12-05,1054146.35,Other expenses,Arby's
US SMALL BUSINESS ADMI,-100.0,USD,2020-12-05,1054079.35,Debt Repayment,
ACH PMT A0000 AMEX EPAYMENT COID,-255.0,USD,2020-12-05,1053979.35,Credit Card,American Express
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,2450.0,USD,2020-12-05,1053704.35,Revenue,Stripe
U-Haul,-28.0,USD,2020-12-05,1056154.35,Other expenses,U-Haul
TRANSFER TO CHECKING,-340.0,USD,2020-12-06,1057012.35,Reconciled Intra-Company transfers,
E-BILL 200861832 FRONTIER ONLINE,-83.0,USD,2020-12-07,1056672.35,Utilities,Frontier
INT*IN *QUICKBOOKS MAD GRAND PRA,-500.0,USD,2020-12-07,1056589.35,Software,Intuit
ACH PMT A0000 AMEX EPAYMENT COID,-193.0,USD,2020-12-09,1056089.35,Credit Card,American Express
BlueVine BlueVine ***********,-1100.0,USD,2021-01-01,1055496.35,Debt Repayment,BlueVine
SHOPIFY TRANSFER,4000.0,USD,2021-01-01,1054396.35,Revenue,Shopify
CHECKCARD HISCOX BUSINESS INS PREM INS PREM,-182.0,USD,2021-01-01,1058396.35,Insurance,Hiscox
DEPOSIT,3147.0,USD,2021-01-02,1051382.35,ATM Cash Inflows,
TRANSFER ST-Z9S5R5T5G STRIPE,364.0,USD,2021-01-03,1054529.35,Revenue,Stripe
UPS*0000001R00F6469,-26.0,USD,2021-01-04,1054893.35,Postage,UPS
GNLC BUFFET DINER,-81.0,USD,2021-01-06,1055417.35,Other expenses,
INST XFER UBERPRINTS PAYPAL COID,-427.0,USD,2021-01-07,1055336.35,Other expenses,Paypal
TRANSFER ST-G3M2N1A2V3H0 STRIPE,313.0,USD,2021-01-08,1054909.35,Revenue,Stripe
H-E-B GAS/CAR WASH #1234 BAYTOWN,-20.0,USD,2021-01-13,1055766.35,Other expenses,
Buffalo Wild Wings,-28.0,USD,2021-01-14,1055746.35,Other expenses,Buffalo Wild Wings
CASH APP*Jamie Parker 123456789,-250.0,USD,2021-01-15,1055718.35,P2P Transfers,Cash App
TRANSFER ST-A4A2T8Y7S7T2 STRIPE,272.0,USD,2021-01-18,1055348.35,Revenue,Stripe
ADP 401k ABC12345ABC ADP 401,-150.0,USD,2021-01-19,1055620.35,Payroll and Consultants,ADP
GitLab San Francisco,-271.0,USD,2021-01-20,1055470.35,Software,Gitlab
TST* NEIGHBOURHOOD COFFEE,-51.0,USD,2021-01-21,1055199.35,Other expenses,
UPS*0000001A00A1234,-171.0,USD,2021-01-25,1042737.7,Postage,UPS
Amazon,-71.0,USD,2021-01-26,1042566.7,Software,Amazon
CASH APP*Johannes JJ 877417455,-60.0,USD,2021-01-27,1042495.7,P2P Transfers,Cash App
IAT PAYPAL 12345678 FIVERR.,-400.0,USD,2021-01-28,1042435.7,Payroll and Consultants,Paypal
Intuit *QuickBooks,-73.0,USD,2021-01-29,1042035.7,Software,Intuit
MOBILE DEPOSIT,147.0,USD,2021-01-30,1041962.7,Check Deposits,
SHOPIFY TRANSFER,5000.0,USD,2021-02-01,1042327.7,Revenue,Shopify
SHOPIFY CAPITAL,-300.0,USD,2021-02-01,1047327.7,Debt Repayment,Shopify Capital
SHOPIFY TRANSFER,3000.0,USD,2021-02-01,1047027.7,Revenue,Shopify
